Qty,partname,description,lib
0,"CERAMIC-10UF-25V-10%-X5R_1206_","","SeeedOPL-Capacitor-2016"
0,"CERAMIC-1UF-25V-10%-X7R_0805_","","SeeedOPL-Capacitor-2016"
0,"DIP-BUZZER-3V_KS-12065D03YA_","","SeeedOPL-Connector-2016"
0,"DIP-CERAMIC-DISC-100NF-50V-Y5V_D5.0MM_","","SeeedOPL-Capacitor-2016"
0,"DIP-CRYSTAL-16MHZ-18PF-30PPM-40R_HC49US_","","SeeedOPL-Crystal Oscillator-2016"
0,"DIP-RES-100R-5%-1_4W_PR-D2.3XL6.5MM_","","SeeedOPL-Resistor-2016"
0,"DIP-SWITCH-TACTILE-SPST-NO_TS-1109_4P-D6.0MM_","","SeeedOPL-Switch-2016"
0,"LED-4-BETY-7-SEG_2X7P-30X14MM_","","SeeedOPL-Display-2016"
0,"MCU-ATMEGA32U4-AU_TQFP44_","","SeeedOPL-IC-2016"
0,"MICRO-USB-SMD-B-_10118193-0001LF_","","SeeedOPL-Connector-2016"
0,"SMD-RES-10K-1%-1_16W_0402_","","SeeedOPL-Resistor-2016"
0,"SMD-RES-220R-5%-1_8W_0805_","","SeeedOPL-Resistor-2016"
0,"SMD-RES-22R-5%-1_8W_0805_","","SeeedOPL-Resistor-2016"
