Reference, Value, Footprint, Datasheet, MPN, SKU
"U1","MCU-ATMEGA32U4-AU_TQFP44_","SeeedOPL-IC-2016:TQFP44-0.8-9.6X9.6MM","","ATMEGA32U4","310010010"
"USB1","MICRO-USB-SMD-B-_10118193-0001LF_","SeeedOPL-Connector-2016:MICRO-USB5+6P-SMD-0.65-B","","10118193-0001LF","320010003"
"R1","SMD-RES-22R-5%-1_8W_0805_","SeeedOPL-Resistor-2016:R0805","","RC0805JR-0722RL","301010329"
"R2","SMD-RES-22R-5%-1_8W_0805_","SeeedOPL-Resistor-2016:R0805","","RC0805JR-0722RL","301010329"
"U2","LED-4-BETY-7-SEG_2X7P-30X14MM_","SeeedOPL-Display-2016:LCD12-2.54-30.0X14.0X7.3MM","","SYD3642ASR","304080005"
"R4","SMD-RES-220R-5%-1_8W_0805_","SeeedOPL-Resistor-2016:R0805","","RC0805JR-07220RL","301010315"
"R5","SMD-RES-220R-5%-1_8W_0805_","SeeedOPL-Resistor-2016:R0805","","RC0805JR-07220RL","301010315"
"R6","SMD-RES-220R-5%-1_8W_0805_","SeeedOPL-Resistor-2016:R0805","","RC0805JR-07220RL","301010315"
"R7","SMD-RES-220R-5%-1_8W_0805_","SeeedOPL-Resistor-2016:R0805","","RC0805JR-07220RL","301010315"
"R8","SMD-RES-220R-5%-1_8W_0805_","SeeedOPL-Resistor-2016:R0805","","RC0805JR-07220RL","301010315"
"R11","SMD-RES-220R-5%-1_8W_0805_","SeeedOPL-Resistor-2016:R0805","","RC0805JR-07220RL","301010315"
"R10","SMD-RES-220R-5%-1_8W_0805_","SeeedOPL-Resistor-2016:R0805","","RC0805JR-07220RL","301010315"
"R9","SMD-RES-220R-5%-1_8W_0805_","SeeedOPL-Resistor-2016:R0805","","RC0805JR-07220RL","301010315"
"K1","DIP-SWITCH-TACTILE-SPST-NO_TS-1109_4P-D6.0MM_","SeeedOPL-Switch-2016:SW4-6.0X6.0X5.0MM","","","311020024"
"R3","SMD-RES-10K-1%-1_16W_0402_","SeeedOPL-Resistor-2016:R0402","","RC0402FR-0710KL","301010047"
"K2","DIP-SWITCH-TACTILE-SPST-NO_TS-1109_4P-D6.0MM_","SeeedOPL-Switch-2016:SW4-6.0X6.0X5.0MM","","","311020024"
"K3","DIP-SWITCH-TACTILE-SPST-NO_TS-1109_4P-D6.0MM_","SeeedOPL-Switch-2016:SW4-6.0X6.0X5.0MM","","","311020024"
"C1","CERAMIC-10UF-25V-10%-X5R_1206_","SeeedOPL-Capacitor-2016:C1206","","CC1206KKX5R8BB106","302010181"
"C2","CERAMIC-1UF-25V-10%-X7R_0805_","SeeedOPL-Capacitor-2016:C0805","","CC0805KKX7R8BB105","302010179"
"BUZ1","DIP-BUZZER-3V_KS-12065D03YA_","SeeedOPL-Connector-2016:BZ2-7.6-D12.0XH6.5MM","","KS-12065D03YA","312010004"
"R12","DIP-RES-100R-5%-1_4W_PR-D2.3XL6.5MM_","SeeedOPL-Resistor-2016:PR-D2.3XL6.5MM","","FHCFR-1_4W-101J","301020017"
"Y1","8-16 MHZ","SeeedOPL-Crystal Oscillator-2016:HC49US","","","306010014"
"C3","12-22pF","SeeedOPL-Capacitor-2016:CERAMIC-2.54",""
"C4","12-22pF","SeeedOPL-Capacitor-2016:CERAMIC-2.54",""
